id,text
1,what are the atms that will accept this card?
2,my card payment says pending and it hasn't changed
3,how do i report my card stolen?
4,how old do we have to be?
5,what do i do if my card is about to expire?
6,a transfer to my account was denied.
7,why is my beneficiary not allowed?
8,how many days processing new card?
9,"card is lost, please help"
10,i need assistance with activating my new card.
11,what are the steps that i need to take to activate a new card?
12,i have young kids. can they use this service?
13,can i get some help to get me card activated?
14,"my card payment is just showing up as pending and it has been a while , what's going on with that, it should be going through at some point?"
15,i exchange currencies a lot.  can i get a discount?
16,"hello, i made a payment with my card and it's not working. it's been a while and still says its pending. can you tell when this will go through?"
17,can i be given a new passcode?
18,"can you check about unauthorized use of my card, i think someone is using mine without my knowledge?"
19,"i went to an atm to get cash, but the app says the withdrawal is still pending. how is that possible when i already have the cash with me?"
20,when will the transaction go through?
21,can i cancel a transfer
22,what's the fee for exchange of foreign currencies?
23,"my cash withdrawal is showing as pending, why?"
24,will i be sent a new card before mine expires?
25,do i need a photo id to activate a my new card?
26,i don't think my transfer wen through. why?
27,is the system down? i've been trying to do a transfer and have failed?
28,i think my account has been hacked there are charges on there i don't recognize.
29,the attempted transfer failed.
30,my passcode was denied.
31,in what way can i change my pin and where do i need to be?
32,is this card accepted by atms?
33,why is my card payment showing as pending?
34,how long does it take for a pending cash withdrawal?
35,i wasn't able to do a transfer to an account
36,do i need to pay extra for exchanging currencies?
37,can i use the card at any cash machine?
38,i lost my card. can you help me?
39,"what are the steps to activate the card, as it does not seem to work?"
40,"i need to set up an account for my daughter, how would i do that?"
41,i goofed up and used the wrong account.  please help.
42,i tried to transfer money but it didn't go through
43,will there be a cost if i exchange currency?
44,why aren't my payment funds available to me?
45,can i order a new card?  mine is about to expire.
46,tell me what atms use this card.
47,could you help my figure out the exchange fee?
48,i messed up a transfer and need to reverse it.
49,someone hacked into my cards account.
50,who do i call to cancel a transfer?
51,show me how to change my pin?
52,"if i wanted to change my pin, how would i do that?"
53,my card has been stolen what do i do?
54,why do i have a pending payment?
55,"i wanted to transfer money to another account, but now i don't have to so i'd like to cancel said transfer. how can i do that?"
56,someone is using my account to do online shopping! please freeze it asap
57,how long does it take to activate my card?
58,what is the process for setting up and account for my child?
59,"i tried to access money earlier but the machine seems not to be working. after looking, the transaction actually shows to still being process. can you find out what is going on here? i don't want to be charged for some money i never got."
60,if i make a mistake can i cancel the transaction?
61,my card is lost! what do i do now?
62,i am trying to exchange crypto and it's not working. tell me how to fix this.
63,"i accidentally made a payment from the wrong account yesterday. it's my rent payment, and it's very large, so the account i paid from won't be able to cover the amount. it's really important that the payment be made from the right account?"
64,i withdrew cash but it still shows as pending?
65,where can money withdrawals be made?
66,where can i get a new passcode?
67,i need to know when a payment will actually go through. i completed a payment using my card but it is just showing as pending at this point and it has been a while ago.
68,my passcode doesn't seem to be working
69,is there something blocking me from making transfers
70,help me with a pin change.
71,my funds are not transferring to my bank. why is this not working?
72,can i change my pin at any cash machines?
73,can i withdraw from any atm?
74,my cash withdrawal is still showing as pending.
75,is there something wrong with the transferring functions? i keep trying to transfer funds and only get an error message.
76,i could not transfer funds to a beneficiary; is there a problem with your software?
77,for some reason i forgot the passcode i have.
78,what's the pending length for credit transactions? i've had one in my pending category now for days and it won't move to processed.
79,may i get an account for my daughter?
80,how do i cancel a recent transfer?
81,my statement shows charges for things i never purchased. were my account details stolen?
82,"how can i get a new card asap to replace an old, soon to expire one?"
83,is there a location near me that i can change my pin?
84,my card is about to expire. what do i need to do?
85,please cancel the transfer i just made.  i put in the wrong account number and can't seem to stop it on the app.
86,is there a way to reset my passcode?
87,i need to cancel a transaction immediately.
88,the wrong account was used during a transaction.
89,"i can't transfer any money from my account to my friend's account, it keeps rejecting it. can you tell me why? i have enough funds in my account to transfer."
90,i want to choose a different pin.
91,i lost the code and can not get into the app. help!
92,"if i want to exchange currency, will there be extras?"
93,is there a way my new card can be renewed?
94,i don't have my passcode to access the app.
95,why hasn't my payment gone through?
96,would reinstalling the app solve the problem?
97,can i cancel a transfer i made
98,should i uninstall the app before i try it again?
99,what is needed for my daughter to open an account?
100,card activation steps
101,i think i lost my card . i dont know how long it has been missing. can you see if maybe someone else has been using it?
102,how are cash withdrawals pending?
103,my card information seems to have been stolen! i don't know where these transactions came from and i've never even been to the city where they were made. i need my card blocked asap so this person can't keep using my card.
104,are there any hidden extra fees for currency exchanges?
105,"i initiated a payment a while ago and it is still showing as 'pending', how long will it take to clear?"
106,can someone please help assist me by explaining to me why my pass-code is not working?
107,where can i order a card when i am in china?
108,why couldn't i transfer funds to my beneficiary?
109,what identification is required to activate my card?
110,what do i need to have with me to activate card
111,please help me!  a payment i made had an error on the account number and i can't cancel on my side.  can you cancel it?
112,changing my pin
113,"my card is about to expire, what do i do?"
114,i don't understand why you aren't accepting my transfer. after a couple times trying i'm still getting an error message.
115,"since my card is about to expire, i need a new one."
116,how can i change my password?
117,how can i make my card ready to use?
118,how can i alteration my pin?
119,help me with my contactless which isn't working.
120,why can't i activate my card?
121,what do i need for activation of my card?
122,why would a cash withdrawal still be pending?
123,i need help making this transfer. i keep getting an error. i'm trying to purchase a flat but i need my mortgage payment to go through first. can you help?
124,how much more do i have to pay to exchange currencies?
125,what should i do once my card expires?
126,"hi, i'm trying to by some crypto and the app isn't allowing it. i really want to exchange this, what am i doing wrong?"
127,where is the nearest mastercard atm?
128,why is the payment from my card still pending?
129,what do i do if my card is expiring soon?
130,"can i change my pin at atms?  if so, what ones?"
131,which atms accept this bill of fare ?
132,i pulled cash from the atm earlier. why is it still pending if i already have the cash?
133,why is the cash transaction still showing as not completed?
134,how long do card transactions take to clear?
135,how long will my cash withdrawal be pending for?
136,how long does it take to post atm with drawl
137,i have lost my card! what is my next step?
138,i just got a new card how do i get it to start working?
139,"my card is expiring shortly.  how much will it cost for a replacement, and how soon can i get it?"
140,what does my daughter need to open an account?
141,pending transaction?
142,what's the youngest i can be to open an account?
143,i want to start using my card.
144,how do i cancel a transaction?
145,why can't my transfer complete?
146,how can i cancel a transfer i made
147,"hi, i have been transferring money to my friends since morning, but all my transactions were getting failed. can you please look into this issue."
148,can you explain why my transfer was unsuccessful?
149,"you can activate your card in a few seconds by going to account, hitting activate, and just following the directions."
