id,text
1,what does the who do?
2,how often should i wash my hands?
3,when does covid vacation end?
4,does eating garlic help?
5,how does coronavirus spread?
6,how to i prevent myself from getting sick?
7,how does covid spread
8,how do i apply for unemployment benefits?
9,where can i test
10,i need help
11,what groups are most at risk
12,will a respirator help me?
13,i want to talk to someone.
14,how do i stay safe
15,is there a vaccine for covid-19
16,are schools in my area closed
17,i need to be checked for covid 19.
18,when can i return to school?
19,is it contagious
20,how to treat covid?
21,how many people are infected
22,how do i know if i got this
23,how are you
24,tell me about the symptoms
25,i'm a doctor how can i help?
26,how do i get a test?
27,are schools closed?
28,i want to consult an expert.
29,is there a vaccine for coronavirus?
30,how contagious is covid-19?
31,where cani get tested
32,yes it is
33,is it safe to go to the grocery store?
34,why aren't any masks available?
35,i have a fever. should i go to the hospital?
36,i need help
37,what is the corona virus
38,what can i do if i lose my job?
39,is there a vaccine for covid
40,what if i urgently need to take a flight?
41,can my friends visit me?
42,is graduation delayed?
43,events and large gatherings
44,how long will i feel terrible?
45,can i go for a run outside?
46,is it safe to go to costco?
47,what cleaning regimen should i follow
48,what is covid-19
49,effective cleaning and hand washing techqniques
50,i am coughing.  should i call my doctor?
51,where can i get a coronavirus test
52,origin of coronavirus
53,what is covid-19
54,how long will i feel terrible?
55,do i have covid?
56,is there a test for the coronavirus
57,i think i'm infected
58,washing your hands effectively
59,how can i get my test results?
60,what is covid19
61,how long should i be in quarantine?
62,what are the common symptoms
63,is the coronavirus the same as sars?
64,should i take theraflu?
65,what is the risk of my child becoming sick with covid-19?
66,spreading covid to others
67,origin of coronavirus
68,should i wear a respirator?
69,where can i get a test?
70,which schools are closed?
71,everything is horrible
72,what is shortness of breath
73,has the cause of covid-19 been identified?
74,this is crap
75,is there a test for coronavirus
76,what are symptoms?
77,who you are?
78,what rules should i follow to prevent covid illness?
79,is there a nationwide curfew?
80,how do i get screened?
81,what does a pandemic mean?
82,i'd like a respirator
83,can i get tested?
84,should i wear a mask or a respirator?
85,are my schools closed?
86,what is covid?
87,what if i live alone and can't go out to buy food?
88,what does breathlessness look like
89,what population groups are most at risk?
90,is covid19 contagious?
91,how do i prevent catching the desease
92,can i go to the grocery store?
93,spreading covid to others
94,where can i go to get tested for covid?
95,flu vs coronavirus
96,how long should i quarrantine?
97,what is covid
98,how can i do my job while i'm in quarantine?
99,why can't i get or find a mask or a respirator anywhere?
100,how long does the disease last?
101,under what circumstances do i have to quarantine?
102,is it dangerous to go outside?
103,i don't like this
104,how long does the virus last?
105,what is effective prevention against covid?
106,ok - i've got enough of those that i think i need to get tested.
107,where are cases?
108,is there a vaccine for corona virus
109,how long before i experience covid-19 symptons?
110,how many people ar sick in the us?
111,how do you protect yourself?
112,how long will the state of emergency last?
113,how do i apply for unemployment
114,is the covid vaccine ready?
115,can dogs get covid19?
116,which schools are closed?
117,where can i be tested
118,how is a pandemic different from an epidemic?
119,are the local parks open?
120,are my pets at risk from corona virus?
121,what medicines work best
122,how long can i get [paid sick leave
123,is this the same as the flu?
124,what are the common symptoms
125,can pets contract the virus
126,should i avoid people?
127,how can i get tested
128,incubation period of coronavirus?
129,how long is the incubation period?
130,how many people have contracted the virus in pennysylvania
131,do i have to go to the hospital if i get covid
132,how do i know if i have this issue
133,should i get tested if i have a cough?
134,what groups are most at risk
135,how to treat covid?
136,can i travel in the current emergency situation?
137,this is hateful
138,show me the list of high-risk countries.
139,this is hateful
140,when is the coronavirus test able to detect the disease?
141,i'm a medical student and i want to get involved. how can i help?
142,when can i send my kids back to school
143,when can my kid go back to college
144,i have a fever
145,do i have covid?
146,is my school closed
147,what are the symptoms of coronavirus
148,when does covid vacation end?
149,when can i get my results?
150,what can you do
151,how long does the virus last?
152,who are you
153,how long does covid-19 last?
154,is this worse than the flu?
155,yes it is
156,i think i might have the virus.
157,i am a teacher / educator / employee of a school what restrictions apply to me?
158,when will respirators and masks be finally sold?
159,where can i get tested for corona?
160,what is the corona virus
161,i have symptoms. should i get tested?
162,am i eligible for paid sick leave
163,what is covid-19
164,can we go to the store?
165,how much paid sick leave will i get if i am contracted with the virus?
166,where can i get a test done
167,can i receive visits during quarantine?
168,i want to help with shopping for the old.
169,what is covid-19
170,how to apply for unemployment
171,i live in 78709. when will my kids high school reopen?
172,how is covid transmitted?
173,how do you test
174,how can i prevent coronavirus
175,can i get tested quickly?
176,what is covid-19
177,origin of coronavirus
178,testing spots for coronavirus?
179,go to hell
180,does alcohol kill the coronavirus?
181,is it ok for me to go to the grocery store
182,who you are?
183,what are the risky countries?
184,how does covid spread
185,why aren't there respirators?
186,are grocery stores still open
187,how will the shutdown impact my child's attendance records?
188,is coronavirus contagious?
189,can i get tested for cover?
190,how can i get tested
191,how can i quarantine if i have family living with me?
192,which countries have been affected?
193,do i have to use bleach to kill coronavirus?
194,can dogs get the coronavirus?
195,how do you test
196,will i get a refund for a ticket i purchased?
197,what are the symptoms of coronoavirus
198,when can i buy a mask?
199,paid sick leave
200,how many people total have coronavirus?
201,who you are?
202,will i die from covid-19
203,i'm in a covid-free area can i come back to the united states?
204,can i get tested quickly?
205,do i need to wear a face mask?
206,is there test kit for coronavirus
207,what are symptoms
208,how long does the virus last
209,i hate these kinds of things
210,can i test myself at my house?
211,who is able to get paid sick leave
212,am i sick
213,number of infected
214,when can my kids go back to college?
215,incubation period of coronavirus?
216,should i get tested if i do not have symptoms but think i've been exposed?
217,can the government close public places?
218,are quarantined visits allowed?
219,which schools are closed?
220,when will schools close?
221,is this worse than flue
222,how does the state of emergency affect me?
223,is it dangerous to go outside?
224,how to prevent the spread of the virus
225,i need to apply for unemployment.  how do i do it
226,sars vs corona virus?
227,what is corona virus
228,how does the virus spread
229,can i travel?
230,what should i do if i live by myself and i'm in quarantine?
231,which countries should i avoid?
232,when can kid go back to school
233,how do we treat covid?
234,what are some good tips for prevention?
235,when did i need to call the doctor?
236,number of infected
237,what are the common symptoms
238,i am in europe and i want to return to the united states. is that possible?
239,what are symptoms?
240,are schools open
241,"i need to get tested, where can i go?"
242,will paid sick leave be available for uber drivers?
243,does alcohol kill the coronavirus?
244,where are cases?
245,is covid a disease?
